,中债-国债总财富(总值)指数,沪深300指数(全收益),SGE黄金9999
2015-11-09,0.8012054719782176,0.05618533819086421,0.14260918983091828
2015-11-16,0.8010321055076853,0.05529877721714873,0.14366911727516588
2015-11-23,0.802327965194087,0.054461023896853936,0.143211010909059
2015-11-30,0.8030962821744532,0.05298377850338927,0.14391993932215746
2015-12-07,0.8187133100590661,0.04938866894093374,0.13189802100000006
2015-12-14,0.811651928056513,0.04905903483527719,0.13928903710820978
2015-12-21,0.8199686052116177,0.04744565273814746,0.13258574205023474
2015-12-28,0.8184450870895438,0.047115787334030046,0.1344391255764262
2016-01-04,0.819560483158726,0.04637998449721149,0.13405953234406245
2016-01-11,0.8222827775270123,0.04551838402139706,0.13219883845159067
2016-01-18,0.8195878171900545,0.04621693017545341,0.1341952526344921
2016-01-25,0.8182283890074682,0.04638830700461719,0.13538330398791454
2016-02-01,0.8139362125590743,0.046724619125290086,0.1393391683156355
2016-02-15,0.8178019238748054,0.04714795194380392,0.1350501241813906
2016-02-22,0.81722853812315,0.04693833704316927,0.1358331248336807
2016-02-29,0.8183760385263374,0.04605210348108361,0.13557185799257895
2016-03-07,0.8188286366647267,0.04579776150994692,0.13537360182532648
2016-03-14,0.819646640565376,0.04591271187475223,0.1344406475598719
2016-03-21,0.8239533865418102,0.044979557000464666,0.13106705645772518
2016-03-28,0.8263386351736364,0.04476294665587178,0.12889841817049177
2016-04-05,0.8268533888137076,0.04468095660170656,0.12846565458458586
2016-04-11,0.829685839110779,0.04387841080525904,0.12643575008396196
2016-04-18,0.8346370937414515,0.04251392046205741,0.12284898579649112
2016-04-25,0.8309483594956659,0.04339012204765374,0.12566151845668044
2016-05-03,0.8387817921693084,0.04186720029505366,0.1193510075356379
2016-05-09,0.8389069091070392,0.04147811587282035,0.11961497502014042
2016-05-16,0.8400344165570084,0.0412563497104257,0.11870923373256595
2016-05-23,0.8412549915736737,0.04115707474906585,0.11758793367726053
2016-05-30,0.841907031316758,0.04115373582334025,0.11693923285990175
2016-06-06,0.8434299631765583,0.04111732963929484,0.11545270718414682
2016-06-13,0.8463582746890257,0.04141062459017591,0.11223110072079844
2016-06-20,0.8477555001179444,0.041547761049108435,0.11069673883294717
2016-06-27,0.8536078468065827,0.04142872331206998,0.10496342988134724
2016-07-04,0.8541588857690223,0.04208356213624136,0.10375755209473637
2016-07-11,0.8527516862920098,0.04416987373331097,0.10307843997467915
2016-07-18,0.8560970695325294,0.04404679022457287,0.09985614024289784
2016-07-25,0.8530008090029897,0.04636848449086167,0.10063070650614872
2016-08-01,0.8517587473699613,0.04675062370508848,0.10149062892495023
2016-08-08,0.8503516416906064,0.04838840032160411,0.10125995798778951
2016-08-15,0.8494142039156988,0.04883802240024838,0.10174777368405279
2016-08-22,0.8485601337173135,0.04932325067617309,0.10211661560651325
2016-08-29,0.8448706593691309,0.050542054625775705,0.10458728600509336
2016-09-05,0.8394485603149685,0.05553894721212237,0.10501249247290927
2016-09-12,0.8402075577303133,0.056460940962849857,0.10333150130683694
2016-09-19,0.8397168503927575,0.056864796688941066,0.10341835291830155
2016-09-26,0.8384909022927914,0.057767642613992885,0.10374145509321568
2016-10-10,0.8395799641336543,0.05969069021698918,0.10072934564935651
2016-10-17,0.8386307594421427,0.0601244277309396,0.10124481282691755
2016-10-24,0.8392173661706263,0.06011803075782685,0.10066460307154687
2016-10-31,0.8433294922468348,0.05869515788401691,0.09797534986914824
2016-11-07,0.8440323523017624,0.05874540730272179,0.09722224039551572
2016-11-14,0.8454026744681171,0.05960896081614736,0.09498836471573548
2016-11-21,0.8493781320273218,0.058899536135181244,0.09172233183749709
2016-11-28,0.84968576087854,0.05864691067452922,0.09166732844693082
2016-12-05,0.8430992010196782,0.06113978365609351,0.09576101532422836
2016-12-12,0.8329291729458038,0.06574402965444337,0.10132679739975277
2016-12-19,0.8084599770841544,0.07561670121982564,0.11592332169601996
2016-12-26,0.8011298196106124,0.07867682692772614,0.12019335346166146
2017-01-03,0.7982355216323259,0.08006104669966249,0.1217034316680117
2017-01-09,0.7974411253723109,0.08077800638823629,0.12178086823945271
2017-01-16,0.793695498731888,0.08491922718293526,0.1213852740851767
2017-01-23,0.786619120366475,0.0926861460451403,0.12069473358838463
2017-02-03,0.7851735991991244,0.09455402045529207,0.12027238034558359
2017-02-06,0.7832474174144491,0.09617928903586864,0.12057329354968219
2017-02-13,0.7792074151503849,0.1024021185550437,0.11839046629457121
2017-02-20,0.7766873850524657,0.10580518427076271,0.11750743067677163
2017-02-27,0.7715822271565973,0.10689648631666067,0.12152128652674207
2017-03-06,0.7702954689705199,0.10799547928086459,0.12170905174861549
2017-03-13,0.7605529827964692,0.1191926792316719,0.12025433797185893
2017-03-20,0.7561009648071912,0.12404385878486769,0.11985517640794104
2017-03-27,0.7527199057351807,0.12595117263644148,0.1213289216283779
2017-04-05,0.7504031554034543,0.12769010417108848,0.12190674042545728
2017-04-10,0.7490285419076745,0.1284826715291998,0.12248878656312563
2017-04-17,0.7442429397696556,0.13207767755425526,0.12367938267608912
2017-04-24,0.7406835827221081,0.13450857977535502,0.12480783750253686
2017-05-02,0.7396106989994241,0.13585520148367464,0.12453409951690128
2017-05-08,0.7390111354718446,0.13683452129235432,0.12415434323580113
2017-05-15,0.7376995225037842,0.13658105319144703,0.12571942430476865
2017-05-22,0.731173726023178,0.14271530277671776,0.12611097120010428
2017-05-31,0.7299422501180948,0.14278171721619212,0.1272760326657131
2017-06-05,0.7298393636233462,0.1428230302683227,0.12733760610833114
2017-06-12,0.7274134219884256,0.14344198718965834,0.12914459082191598
2017-06-19,0.7199142479760229,0.1494579145305987,0.1306278374933784
2017-06-26,0.7119798011023354,0.15347086986471606,0.13454932903294858
2017-07-03,0.7096703617911304,0.15362926984937456,0.13670036835949506
2017-07-10,0.7006798346403994,0.15322487975067514,0.14609528560892554
